
Running time
	20	25	30	35	40	50	80	
1	00:01:07.6297006	00:01:07.7889884	00:01:07.9109813	00:01:10.8027188	00:01:11.6706060	00:01:16.4661053	00:01:38.5893684	
2	00:00:39.7593546	00:00:38.8437769	00:00:38.4887445	00:00:38.5371967	00:00:38.7411567	00:00:40.3663532	00:00:52.7775600	
4	00:00:23.1389397	00:00:23.7705493	00:00:45.7519757	00:00:27.7076380	00:00:25.6394146	00:00:25.1718814	00:00:42.6113508	
6	00:00:19.0991454	00:00:19.3683641	00:00:30.6030219	00:00:21.5423557	00:00:22.5040412	00:00:23.2680256	00:00:42.0890769	
8	00:00:17.0801467	00:00:17.7399957	00:00:37.5975634	00:00:21.1699040	00:00:21.5625798	00:00:23.9280528	00:00:42.3973864	

Number of times a thread has waited for work
	20	25	30	35	40	50	80	
1	0	0	0	0	0	0	0	
2	4096	3888	3632	3242	3084	2739	2867	
4	20606	20762	20436	20327	21343	23015	28580	
6	36502	42630	48986	57114	62873	71614	59612	
8	48868	68317	84666	110612	125002	123000	88817	

Number of times a thread has completed a computational kernel
	20	25	30	35	40	50	80	
1	543984	303448	196180	137217	96742	57702	24944	
2	543984	303448	196180	137217	96742	57702	24944	
4	543984	303448	196180	137217	96742	57702	24944	
6	543984	303448	196180	137217	96742	57702	24944	
8	543984	303448	196180	137217	96742	57702	24944	

Number of times a thread has received work from a secondary producer (in pipelined mode)
	20	25	30	35	40	50	80	
1	0	0	0	0	0	0	0	
2	0	0	0	0	0	0	0	
4	0	0	0	0	0	0	0	
6	0	0	0	0	0	0	0	
8	0	0	0	0	0	0	0	

Number of times threads have waited to long for a pulse / waited to long for a pulse when producer was completed
	20	25	30	35	40	50	80	
1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
4	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
6	0,0	0,0	4,0	0,0	0,0	0,0	0,0	
8	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
