
Running time
	10	20	25	30	35	40	50	80	
0	00:00:05.1299943	00:00:04.6536203	00:00:04.8358087	00:00:05.0893263	00:00:05.2624728	00:00:05.7495668	00:00:06.2478950	00:00:08.9252481	

Number of times a thread has waited for work
	10	20	25	30	35	40	50	80	
0	0	0	0	0	0	0	0	0	

Number of times a thread has completed a computational kernel
	10	20	25	30	35	40	50	80	
0	0	0	0	0	0	0	0	0	

Number of times a thread has received work from a secondary producer (in pipelined mode)
	10	20	25	30	35	40	50	80	
0	0	0	0	0	0	0	0	0	

Number of times threads have waited to long for a pulse / waited to long for a pulse when producer was completed
	10	20	25	30	35	40	50	80	
0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
