
Running time
	10	20	25	30	35	40	50	80	
1	00:00:43.3616883	00:00:32.2403039	00:00:32.6270574	00:00:32.1474103	00:00:33.3794624	00:00:33.9055523	00:00:36.7187814	00:00:46.4042878	
2	00:00:33.2745339	00:00:20.0228683	00:00:19.1304297	00:00:29.0382149	00:00:19.2534058	00:00:18.3418190	00:00:19.5793459	00:00:24.9789013	
4	00:00:23.0246838	00:00:12.4415890	00:00:11.5304235	00:00:28.9565425	00:00:11.9772283	00:00:10.9379252	00:00:11.9336812	00:00:20.3500937	
6	00:00:21.7010965	00:00:10.2139950	00:00:09.2212644	00:00:11.8286490	00:00:09.5216501	00:00:09.0497408	00:00:11.0031017	00:00:20.1859421	
8	00:00:22.6672127	00:00:09.7287580	00:00:08.9042833	00:00:24.8660421	00:00:09.0837975	00:00:09.1811451	00:00:11.1342105	00:00:20.3803439	

Number of times a thread has waited for work
	10	20	25	30	35	40	50	80	
1	0	0	0	0	0	0	0	0	
2	1784	2019	1897	1796	1529	1509	1332	1464	
4	5233	10151	10092	9949	9836	10616	11617	13996	
6	6792	18515	21132	24401	28199	30723	35680	28416	
8	8672	25145	33665	42170	51190	57221	57689	42328	

Number of times a thread has completed a computational kernel
	10	20	25	30	35	40	50	80	
1	1651403	252168	145990	92237	65228	45475	28427	11678	
2	1651403	252168	145990	92237	65228	45475	28427	11678	
4	1651403	252168	145990	92237	65228	45475	28427	11678	
6	1651403	252168	145990	92237	65228	45475	28427	11678	
8	1651403	252168	145990	92237	65228	45475	28427	11678	

Number of times a thread has received work from a secondary producer (in pipelined mode)
	10	20	25	30	35	40	50	80	
1	0	0	0	0	0	0	0	0	
2	0	0	0	0	0	0	0	0	
4	0	0	0	0	0	0	0	0	
6	0	0	0	0	0	0	0	0	
8	0	0	0	0	0	0	0	0	

Number of times threads have waited to long for a pulse / waited to long for a pulse when producer was completed
	10	20	25	30	35	40	50	80	
1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
4	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
6	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
8	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
