
Running time
	20	
1	00:00:17.8540377	
2	00:00:09.9366506	
4	00:00:05.6839029	

Number of times a thread has waited for work
	20	
1	0	
2	1231	
4	6416	

Number of times a thread has completed a computational kernel
	20	
1	256887	
2	256887	
4	256887	

Number of times a thread has received work from a secondary producer (in pipelined mode)
	20	
1	0	
2	496	
4	2594	

Number of times threads have waited to long for a pulse / waited to long for a pulse when producer was completed
	20	
1	0,0	
2	0,0	
4	0,0	
