
Running time
	80	
1	00:00:24.6200324	
2	00:00:12.7837230	
4	00:00:09.2845332	

Number of times a thread has waited for work
	80	
1	0	
2	877	
4	11395	

Number of times a thread has completed a computational kernel
	80	
1	12018	
2	12018	
4	12018	

Number of times a thread has received work from a secondary producer (in pipelined mode)
	80	
1	0	
2	343	
4	1238	

Number of times threads have waited to long for a pulse / waited to long for a pulse when producer was completed
	80	
1	0,0	
2	0,0	
4	0,0	
