
Running time
	40	
1	00:00:18.4388512	
2	00:00:09.5750629	
4	00:00:05.2127110	

Number of times a thread has waited for work
	40	
1	0	
2	731	
4	5847	

Number of times a thread has completed a computational kernel
	40	
1	46189	
2	46189	
4	46189	

Number of times a thread has received work from a secondary producer (in pipelined mode)
	40	
1	0	
2	407	
4	2252	

Number of times threads have waited to long for a pulse / waited to long for a pulse when producer was completed
	40	
1	0,0	
2	0,0	
4	0,0	
