
Running time
	70	
1	00:00:22.4481018	
2	00:00:11.5534183	
4	00:00:07.8067763	

Number of times a thread has waited for work
	70	
1	0	
2	712	
4	10813	

Number of times a thread has completed a computational kernel
	70	
1	13774	
2	13774	
4	13774	

Number of times a thread has received work from a secondary producer (in pipelined mode)
	70	
1	0	
2	323	
4	1317	

Number of times threads have waited to long for a pulse / waited to long for a pulse when producer was completed
	70	
1	0,0	
2	0,0	
4	0,0	
